Test,DAYSBACK,PCTMIN,PCTMAX,ATHMIN,ATHMAX,MAXBUYS,BUYDROP,TARGET,STOPLOSS,MAXDURA,WinRate,TotalTrade,Executed,Open,Closed,ProfitTGT,LossSL,LossFEMD,LossFECD,ProfitFEMD,ProfitFECD,Pending,Expired,Invalid,TotalRows,Wins,Losses,TotalStock,SumProfit,SumGainFin,Dur5,Dur10,Dur15,Dur20,Dur25,Dur30,Dur35,Dur40,ExitTGT,ExitSL,ExitFEMD,ExitFECD
255566,20,-0.07,-0.01,-0.55,-0.4,2,0.1,0.2,0.15,50,53.63,3644,3390,246,3144,0,1048,0,410,0,1686,0,254,25,3669,1686,1458,3669,1729265.41,19691.77,61,183,152,122,117,124,171,2214,0,1048,0,2096
255567,20,-0.07,-0.01,-0.55,-0.4,2,0.1,0.2,0.15,50,70.2,3645,3391,227,3164,1643,0,0,943,0,578,0,254,24,3669,2221,943,3669,3016397.01,27221.54,140,288,345,232,238,192,131,1598,1643,0,0,1521
255568,20,-0.07,-0.01,-0.55,-0.4,2,0.1,0.2,0.15,60,58.7,3650,3396,222,3174,1464,987,0,324,0,399,0,254,19,3669,1863,1311,3669,1794546.49,20219.33,201,467,483,329,310,265,214,905,1464,987,0,723
255569,20,-0.07,-0.01,-0.55,-0.4,2,0.1,0.2,0.15,60,53.63,3644,3390,246,3144,0,1048,0,410,0,1686,0,254,25,3669,1686,1458,3669,1729265.41,19691.77,61,183,152,122,117,124,171,2214,0,1048,0,2096
255570,20,-0.07,-0.01,-0.55,-0.4,2,0.1,0.2,0.15,60,70.2,3645,3391,227,3164,1643,0,0,943,0,578,0,254,24,3669,2221,943,3669,3016397.01,27221.54,140,288,345,232,238,192,131,1598,1643,0,0,1521
255571,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.1,0.15,20,65.75,3650,3396,91,3305,1847,492,640,0,326,0,0,254,19,3669,2173,1132,3669,861702.7,8830.57,878,646,508,1273,0,0,0,0,1847,492,966,0
255572,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.1,0.15,20,60.15,3650,3396,136,3260,0,518,781,0,1961,0,0,254,19,3669,1961,1299,3669,1543377.86,15835.05,61,183,152,2864,0,0,0,0,0,518,2742,0
255573,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.1,0.15,20,68.86,3646,3392,91,3301,1903,0,1028,0,370,0,0,254,23,3669,2273,1028,3669,1159221.79,11888.57,817,475,382,1627,0,0,0,0,1903,0,1398,0
255574,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.1,0.15,30,68.49,3650,3396,137,3259,2091,674,353,0,141,0,0,254,19,3669,2232,1027,3669,881194.61,9024.97,878,646,508,307,238,682,0,0,2091,674,494,0
255575,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.1,0.15,30,55.76,3646,3392,241,3151,0,759,635,0,1757,0,0,254,23,3669,1757,1394,3669,1330347.16,13656.84,61,183,152,122,117,2516,0,0,0,759,2392,0
255576,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.1,0.15,30,75.45,3646,3392,142,3250,2247,0,798,0,205,0,0,254,23,3669,2452,798,3669,1432624.23,14701.47,817,475,382,229,197,1150,0,0,2247,0,1003,0
255577,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.1,0.15,40,68.88,3650,3396,138,3258,2170,799,162,53,38,36,0,254,19,3669,2244,1014,3669,842083.01,8628.85,878,646,508,307,238,188,129,364,2170,799,200,89
255578,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.1,0.15,40,52.48,3644,3390,246,3144,0,994,400,100,501,1149,0,254,25,3669,1650,1494,3669,1234254.94,12688.3,61,183,152,122,117,124,171,2214,0,994,901,1249
255579,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.1,0.15,40,77.19,3646,3392,143,3249,2390,0,550,191,43,75,0,254,23,3669,2508,741,3669,1440814.65,14767.5,817,475,382,229,197,147,86,916,2390,0,593,266
255580,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.1,0.15,50,68.82,3650,3396,138,3258,2175,813,0,203,0,67,0,254,19,3669,2242,1016,3669,826871.42,8473.49,878,646,508,307,238,188,129,364,2175,813,0,270
255581,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.1,0.15,50,51.3,3644,3390,246,3144,0,1048,0,483,0,1613,0,254,25,3669,1613,1531,3669,1133235.8,11640.23,61,183,152,122,117,124,171,2214,0,1048,0,2096
255582,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.1,0.15,50,77.19,3645,3391,143,3248,2397,0,0,741,0,110,0,254,24,3669,2507,741,3669,1384578.5,14182.42,817,475,382,229,197,147,86,915,2397,0,0,851
255583,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.1,0.15,60,68.82,3650,3396,138,3258,2175,813,0,203,0,67,0,254,19,3669,2242,1016,3669,826871.42,8473.49,878,646,508,307,238,188,129,364,2175,813,0,270
255584,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.1,0.15,60,51.3,3644,3390,246,3144,0,1048,0,483,0,1613,0,254,25,3669,1613,1531,3669,1133235.8,11640.23,61,183,152,122,117,124,171,2214,0,1048,0,2096
255585,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.1,0.15,60,77.19,3645,3391,143,3248,2397,0,0,741,0,110,0,254,24,3669,2507,741,3669,1384578.5,14182.42,817,475,382,229,197,147,86,915,2397,0,0,851
255586,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.2,0.15,20,60.75,3650,3396,130,3266,887,516,766,0,1097,0,0,254,19,3669,1984,1282,3669,1372371.04,14086.15,197,454,448,2167,0,0,0,0,887,516,1863,0
255587,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.2,0.15,20,60.15,3650,3396,136,3260,0,518,781,0,1961,0,0,254,19,3669,1961,1299,3669,1543377.86,15835.05,61,183,152,2864,0,0,0,0,0,518,2742,0
255588,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.2,0.15,20,64.04,3646,3392,130,3262,904,0,1173,0,1185,0,0,254,23,3669,2089,1173,3669,1701051.95,17461.08,136,275,300,2551,0,0,0,0,904,0,2358,0
255589,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.2,0.15,30,58.42,3650,3396,219,3177,1218,744,577,0,638,0,0,254,19,3669,1856,1321,3669,1364363.75,14009.22,197,454,448,304,296,1478,0,0,1218,744,1215,0
255590,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.2,0.15,30,55.76,3646,3392,241,3151,0,759,635,0,1757,0,0,254,23,3669,1757,1394,3669,1330347.16,13656.84,61,183,152,122,117,2516,0,0,0,759,2392,0
255591,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.2,0.15,30,65.72,3646,3392,224,3168,1282,0,1086,0,800,0,0,254,23,3669,2082,1086,3669,1998590.07,20520.55,136,275,300,193,208,2056,0,0,1282,0,1886,0
255592,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.2,0.15,40,56.74,3650,3396,222,3174,1353,954,329,90,197,251,0,254,19,3669,1801,1373,3669,1315019.69,13508.75,197,454,448,304,296,263,223,989,1353,954,526,341
255593,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.2,0.15,40,52.48,3644,3390,246,3144,0,994,400,100,501,1149,0,254,25,3669,1650,1494,3669,1234254.94,12688.3,61,183,152,122,117,124,171,2214,0,994,901,1249
255594,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.2,0.15,40,65.21,3646,3392,227,3165,1464,0,845,256,214,386,0,254,23,3669,2064,1101,3669,2026454.46,20793.12,136,275,300,193,208,170,134,1749,1464,0,1059,642
255595,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.2,0.15,50,56.18,3650,3396,222,3174,1358,999,0,392,0,425,0,254,19,3669,1783,1391,3669,1262855.18,12970.67,197,454,448,304,296,263,223,989,1358,999,0,817
255596,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.2,0.15,50,51.3,3644,3390,246,3144,0,1048,0,483,0,1613,0,254,25,3669,1613,1531,3669,1133235.8,11640.23,61,183,152,122,117,124,171,2214,0,1048,0,2096
255597,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.2,0.15,50,64.57,3645,3391,227,3164,1469,0,0,1121,0,574,0,254,24,3669,2043,1121,3669,1896287.76,19443.71,136,275,300,193,208,170,134,1748,1469,0,0,1695
255598,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.2,0.15,60,56.18,3650,3396,222,3174,1358,999,0,392,0,425,0,254,19,3669,1783,1391,3669,1262855.18,12970.67,197,454,448,304,296,263,223,989,1358,999,0,817
255599,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.2,0.15,60,51.3,3644,3390,246,3144,0,1048,0,483,0,1613,0,254,25,3669,1613,1531,3669,1133235.8,11640.23,61,183,152,122,117,124,171,2214,0,1048,0,2096
255600,20,-0.07,-0.01,-0.55,-0.4,2,0.2,0.2,0.15,60,64.57,3645,3391,227,3164,1469,0,0,1121,0,574,0,254,24,3669,2043,1121,3669,1896287.76,19443.71,136,275,300,193,208,170,134,1748,1469,0,0,1695
255601,20,-0.07,-0.01,-0.55,-0.35,1,0.1,0.1,0.15,20,64.35,5427,5119,131,4988,2667,726,1052,0,543,0,0,308,32,5459,3210,1778,5459,1191148.32,12124.01,1254,925,767,2042,0,0,0,0,2667,726,1595,0
255602,20,-0.07,-0.01,-0.55,-0.35,1,0.1,0.1,0.15,20,58.75,5427,5119,195,4924,0,763,1268,0,2893,0,0,308,32,5459,2893,2031,5459,1957229.51,20040.03,99,275,211,4339,0,0,0,0,0,763,4161,0
255603,20,-0.07,-0.01,-0.55,-0.35,1,0.1,0.1,0.15,20,67.38,5414,5106,131,4975,2745,0,1623,0,607,0,0,308,45,5459,3352,1623,5459,1620471.35,16522.36,1155,666,589,2565,0,0,0,0,2745,0,2230,0
255604,20,-0.07,-0.01,-0.55,-0.35,1,0.1,0.1,0.15,30,66.67,5427,5119,195,4924,3032,995,646,0,251,0,0,308,32,5459,3283,1641,5459,1190796.75,12125.38,1254,925,767,447,351,1180,0,0,3032,995,897,0
255605,20,-0.07,-0.01,-0.55,-0.35,1,0.1,0.1,0.15,30,54.36,5423,5115,328,4787,0,1105,1080,0,2602,0,0,308,36,5459,2602,2185,5459,1663297.94,16897.13,99,275,211,178,159,3865,0,0,0,1105,3682,0
