Test,DAYSBACK,PCTMIN,PCTMAX,ATHMIN,ATHMAX,MAXBUYS,BUYDROP,TARGET,STOPLOSS,MAXDURA,WinRate,TotalTrade,Executed,Open,Closed,ProfitTGT,LossSL,LossFEMD,LossFECD,ProfitFEMD,ProfitFECD,Pending,Expired,Invalid,TotalRows,Wins,Losses,TotalStock,SumProfit,SumGainFin,Dur5,Dur10,Dur15,Dur20,Dur25,Dur30,Dur35,Dur40,ExitTGT,ExitSL,ExitFEMD,ExitFECD
355566,30,-0.09,-0.04,-0.6,-0.3,1,0.1,0.1,0.15,30,79.45,916,812,9,803,605,0,165,0,33,0,0,104,10,926,638,165,926,416337.25,4291.93,283,130,78,47,39,226,0,0,605,0,198,0
355567,30,-0.09,-0.04,-0.6,-0.3,1,0.1,0.1,0.15,40,72.8,918,814,9,805,575,181,22,16,6,5,0,104,8,926,586,219,926,272272.9,2826.48,316,168,91,58,47,44,18,63,575,181,28,21
355568,30,-0.09,-0.04,-0.6,-0.3,1,0.1,0.1,0.15,40,56.94,915,811,26,785,0,234,68,36,103,344,0,104,11,926,447,338,926,409953.68,4274.18,34,46,24,29,32,27,34,559,0,234,171,380
355569,30,-0.09,-0.04,-0.6,-0.3,1,0.1,0.1,0.15,40,80.9,915,811,10,801,627,0,102,51,6,15,0,104,11,926,648,153,926,411865.85,4241.1,283,130,78,47,39,28,12,184,627,0,108,66
355570,30,-0.09,-0.04,-0.6,-0.3,1,0.1,0.1,0.15,50,72.42,918,814,9,805,575,183,0,39,0,8,0,104,8,926,583,222,926,268651.35,2789.7,316,168,91,58,47,44,18,63,575,183,0,47
355571,30,-0.09,-0.04,-0.6,-0.3,1,0.1,0.1,0.15,50,55.8,915,811,26,785,0,242,0,105,0,438,0,104,11,926,438,347,926,392528.65,4089.1,34,46,24,29,32,27,34,559,0,242,0,543
355572,30,-0.09,-0.04,-0.6,-0.3,1,0.1,0.1,0.15,50,80.65,915,811,10,801,627,0,0,155,0,19,0,104,11,926,646,155,926,403390.07,4155.17,283,130,78,47,39,28,12,184,627,0,0,174
355573,30,-0.09,-0.04,-0.6,-0.3,1,0.1,0.1,0.15,60,72.42,918,814,9,805,575,183,0,39,0,8,0,104,8,926,583,222,926,268651.35,2789.7,316,168,91,58,47,44,18,63,575,183,0,47
355574,30,-0.09,-0.04,-0.6,-0.3,1,0.1,0.1,0.15,60,55.8,915,811,26,785,0,242,0,105,0,438,0,104,11,926,438,347,926,392528.65,4089.1,34,46,24,29,32,27,34,559,0,242,0,543
355575,30,-0.09,-0.04,-0.6,-0.3,1,0.1,0.1,0.15,60,80.65,915,811,10,801,627,0,0,155,0,19,0,104,11,926,646,155,926,403390.07,4155.17,283,130,78,47,39,28,12,184,627,0,0,174
